the pilot that the athletes respect is bright
the bikers that the writers detest are entertaining
the kids that the bikers love paint
the hikers that the pilots detest are funny
the writers that the bikers love are bright
the shows that the dancers prefer are funny
the joke that the farmers respect is entertaining
the movies that the doctors prefer are bright
the hiker that the athletes prefer is sad
the dancers that the dancers love are entertaining
the dancer that the farmers prefer is old
the show that the chefs love is entertaining
the dancer that the kids prefer swims
the memories that the dancers respect are old
the bikers that the hikers prefer are funny
the shows that the chefs hate are old
the writers that the kids prefer are old
the memory that the doctors respect is entertaining
the farmer that the bikers love is funny
the writers that the bikers respect are old
the show that the writers love is old
the athletes that the hikers detest laugh
the dancers that the hikers love smile
the writer that the chefs love is entertaining
the farmer that the kids hate swims
the pilot that the farmers love is funny
the toy that the bikers hate is entertaining
the farmer that the dancers hate is sad
the movies that the chefs love are funny
the kid that the doctors respect paints
the pilots that the bikers prefer are entertaining
the doctors that the farmers prefer are entertaining
the dancers that the chefs love are bright
the athlete that the dancers respect is funny
the farmer that the writers detest is sad
the toys that the doctors love are old
the toys that the hikers detest are sad
the athlete that the pilots hate is old
the hikers that the bikers prefer are funny
the hiker that the writers respect is entertaining
the toy that the doctors love is old
the toy that the chefs hate is funny
the writer that the chefs love paints
the memory that the doctors respect is old
the jokes that the dancers love are funny
the dancers that the writers love are funny
the writers that the chefs love are sad
the memory that the dancers love is funny
the shows that the dancers hate are bright
the joke that the athletes hate is entertaining
the pilots that the pilot respects are bright
the biker that the chef prefers swims
the show that the dancer respects is bright
the doctor that the dancer prefers is entertaining
the writer that the kid detests laughs
the movies that the hiker loves are old
the shows that the doctor detests are old
the toys that the pilot hates are old
the writers that the hiker prefers paint
the pilot that the biker prefers swims
the hiker that the athlete prefers cooks
the pilot that the dancer prefers is bright
the biker that the pilot detests is entertaining
the chefs that the athlete respects laugh
the doctors that the biker prefers are old
the shows that the hiker respects are funny
the athletes that the doctor loves are old
the jokes that the farmer loves are funny
the writers that the pilot loves cook
the pilot that the athlete respects laughs
the toy that the biker respects is sad
the athlete that the farmer hates is funny
the kid that the hiker respects smiles
the hiker that the chef respects swims
the chef that the kid detests cooks
the hiker that the dancer detests is entertaining
the bikers that the pilot prefers cook
the jokes that the hiker loves are sad
the movie that the pilot hates is bright
the toy that the farmer hates is entertaining
the show that the writer loves is old
the doctors that the chef loves are old
the farmers that the pilot respects paint
the chefs that the writer respects paint
the doctors that the kid detests paint
the doctors that the doctor hates smile
the memory that the dancer detests is bright
the farmers that the writer detests cook
the chef that the biker detests is old
the hiker that the athlete hates is bright
the movies that the biker loves are entertaining
the athletes that the doctor loves are sad
the toys that the farmer hates are bright
the farmers that the pilot loves are sad
the dancer that the chef prefers is entertaining
the athlete that the athlete hates is funny
the chef that the farmer prefers swims
the hikers that the pilot loves cook
the dancers that the athlete detests are bright
the hikers that the writer loves paint
